,x,y
219,3.685776,11.199537
220,7.3838263,7.615409
221,8.991501,11.656957
222,6.1132793,11.635903
223,5.110523,6.5140715
224,10.712391,9.910205
225,1.8822532,5.489037
226,9.608659,6.652686
227,7.2036643,8.261646
228,8.54293,11.207714
229,8.45592,6.116175
230,6.2525563,6.7896447
231,7.378204,7.2987847
232,11.907995,8.260429
233,13.159097,9.291765
234,8.102225,12.477187
235,8.61903,9.739176
236,7.555742,12.8883295
237,4.9509273,13.227854
238,-0.864239,6.8698025
239,5.580126,13.855722
240,5.0812073,13.807183
241,9.958202,5.7772174
242,10.375938,7.768011
243,7.2831864,7.872918
244,9.590063,11.473835
245,12.452607,8.016279
246,2.6088872,8.877732
247,6.215611,10.374224
248,1.5714706,7.4132295
249,6.9254274,10.812809
250,6.2697024,6.1840525
251,10.813518,8.940782
252,10.668517,6.0083013
253,1.6494738,8.791528
254,13.510475,7.486403
255,5.601017,11.1733465
256,6.3168044,13.758189
257,2.2650077,7.0333943
258,10.808408,12.214617
259,7.1096454,12.962138
260,7.5097203,13.148821
261,2.3033586,13.491567
262,8.778885,7.623155
263,11.636915,10.691085
264,8.757858,12.038531
265,5.619109,13.416598
266,6.7155075,12.267919
267,7.127534,6.406996
268,13.663103,7.1213284
269,11.433705,10.554695
270,9.109671,11.823194
271,6.889386,12.920493
272,11.399351,8.038968
273,9.829716,10.659091
274,7.086622,7.37256
275,10.138207,9.911592
276,8.551087,8.872372
277,1.4770038,10.313719
278,-0.9787537,8.0578785
279,9.789975,10.385174
280,8.438545,12.260909
281,5.197274,10.163192
282,12.975332,10.192024
283,-2.5572276,9.225664
284,5.363502,12.367378
285,12.202809,11.651586
286,12.322371,10.863876
287,11.146115,10.668519
288,7.981322,12.686357
289,10.484968,11.783472
290,0.94066006,9.680088
291,7.9336815,7.0810776
292,9.2101965,12.342745
293,3.4515548,7.6960306
294,5.014622,11.145615
295,12.741273,9.372462
296,9.939572,8.412014
297,3.3043513,11.883808
298,-2.5009646,10.032402
299,11.25268,9.398114
300,12.556218,11.286132
301,8.3689165,7.2075915
302,7.475543,11.962898
303,-2.5643718,9.659423
304,4.6086864,6.404996
305,10.695545,8.285034
306,2.354927,11.825488
307,1.3509148,11.936284
308,1.9970026,9.048648
309,3.4576118,13.498692
310,12.956653,9.941838
311,3.0195057,13.515645
312,4.9597983,10.375604
313,5.613815,13.124839
314,10.154674,10.817593
315,3.8138819,12.359617
316,9.361415,10.975987
317,5.6678824,10.724042
318,4.040655,6.705334
319,12.502299,7.8560395
320,4.857676,8.317226
321,13.483567,8.147569
322,11.374079,7.0014153
323,1.6648929,9.661974
324,11.603388,11.628891
325,1.9243242,11.964914
326,10.244352,6.92998
327,3.1862981,11.249693
328,11.895967,7.8204265
329,4.5258265,8.337651
330,6.992196,12.587682
331,4.9436474,12.556975
332,4.508222,12.46154
333,0.81197095,7.10793
334,8.573181,6.9134684
335,13.521034,7.347303
336,11.186934,10.638378
337,6.163053,11.012069
338,7.711294,10.972824
339,2.485741,7.861915
340,2.4651692,8.837855
341,8.717615,6.4976697
342,9.311227,8.062838
343,0.8606769,9.885494
344,12.226731,8.677096
345,1.3894703,6.26481
346,10.140016,7.3097343
347,12.262916,10.920402
348,11.4711275,10.498653
349,10.681809,5.981197
350,12.50163,10.578325
351,6.751585,13.554246
352,10.318195,11.463831
353,9.138959,6.4553256
354,7.986571,7.036414
355,4.245303,8.093422
356,2.1768088,7.8551984
357,0.8397167,10.242004
358,1.6552253,6.1718235
359,1.6024116,6.266217
360,6.743535,8.637181
361,5.109332,7.5277557
362,3.9086483,7.851345
363,3.5696669,6.645439
364,9.944998,7.4087014
365,7.2979126,12.08544
366,6.3091125,11.64464
367,7.0877604,6.2244487
368,2.3432858,8.26949
369,8.951202,12.27704
370,2.2127974,12.558733
371,8.433964,12.227241
372,8.979929,7.7294655
373,6.985707,9.706388
374,5.01054,11.188832
375,4.2814875,6.8714
376,13.072621,8.978665
377,10.228281,10.153293
378,7.555494,6.207363
379,7.4887176,9.967375
380,9.262884,9.045735
381,1.7204207,9.79583
382,1.9962,9.54324
383,0.07016983,10.590454
384,12.880446,7.032827
385,10.024175,7.1987534
386,11.059339,5.817201
387,10.591623,7.425357
388,10.013451,5.942799
389,10.50218,7.3343315
390,1.3551662,9.514556
391,6.861893,7.4753814
392,4.251874,7.3985014
